제목	저자	번역	출간일	페이지	ISBN	정가	판가	마일리지
IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍	강경우	 	2015-06-28	464	9791156641872	26000	26000	780
MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB	이광연, 설한국	 	2015-06-10	540	9791156641841	27000	27000	810
창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL	조준동	 	2015-06-10	256	9791156641858	24000	24000	720
IT CookBook, XML 프로그래밍 : 체계적으로 배우는 XML 원리와 응용	홍성용	 	2015-06-08	672	9791156641810	27000	27000	810
전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS	장윤석	 	2015-05-30	312	9791156641827	22000	22000	660
IT CookBook, Play 포토샵	원다예	 	2015-04-27	410	9791156641803	22000	22000	660
IT CookBook, 엑셀과 파워포인트 2013 개정판	강동진 외 4	 	2015-04-10	556	9791156641773	22000	22000	660
IT CookBook, C C++로 배우는 자료구조론	주우석	 	2015-02-24	696	9791156641780	23000	23000	690
IT CookBook, 광통신 공학 : MATLAB과 함께하는 광통신 시스템	이종형	 	2015-02-24	480	9791156641759	28000	28000	840
IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습	신종홍, 장선봉, 지인호	 	2015-02-16	600	9791156641766	25000	25000	750
IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지	하숙정	 	2015-02-16	520	9791156641506	20000	20000	600
정보보안 기사 & 산업기사 (필기)	윤대원, 박인근	 	2015-02-11	672	9791156641735	29000	29000	870
IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013	김주영	 	2015-02-02	464	9791156641490	22000	22000	660
IT CookBook, 핵심이 보이는 신호 및 시스템 : 기본 이론부터 MATLAB 실습까지	이철희	 	2015-01-09	628	9791156641469	28000	28000	840
IT CookBook, 실전에 강한 PLC : 기본 이론부터 실습까지	정완보	 	2015-01-01	384	9791156641452	20000	20000	600
IT CookBook, 원리로 이해하는 통신이론 : Analog & Digital Communications	한동석	 	2015-01-01	352	9791156641445	24000	24000	720
IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!	채종서, 차유빈	 	2014-12-17	496	9791156641377	20000	20000	600
IT CookBook, Compact C 프로그래밍	김충석	 	2014-12-15	536	9791156641483	24000	24000	720
IT CookBook, 스마트 시대의 멀티미디어 : 멀티미디어 기본 이론부터 최신 기술 동향까지	김용태, 박길철	 	2014-12-15	600	9791156641476	28000	28000	840
IT CookBook, 한글 2014 for Beginner	양숙희	 	2014-12-04	152	9791156641414	10000	10000	300
IT CookBook, 엑셀 2013 for Beginner	양숙희	 	2014-11-28	152	9791156641407	10000	10000	300
IT CookBook, New 데이터통신과 네트워킹 : 차세대 통신을 위한 밑그림	강문식	 	2014-11-27	520	9791156641421	26000	26000	780
IT CookBook, 워드 2013 for Beginner	최희식	 	2014-10-28	160	9791156641384	10000	10000	300
IT CookBook, 파워포인트 2013 for Beginner	최희식	 	2014-10-28	176	9791156641285	10000	10000	300
이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비	이재원	 	2014-10-10	400	9791156641315	26000	26000	780
IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법	문병로	 	2014-09-02	284	9791156641353	23000	23000	690
IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리	우종정	 	2014-08-11	572	9791156641322	26000	26000	780
IT CookBook, 초보자의 첫 번째 한글 2010	양숙희	 	2014-08-01	152	9791156641124	10000	10000	300
IT CookBook, C 언어로 배우는 8051 마이크로프로세서	임석구	 	2014-07-28	596	9791156641278	25000	25000	750
IT CookBook, 회로이론 : Circuits	Fawwaz T. Ulaby, Michel M. Maharbiz	박병국, 조성재, 강인만, 김중빈	2014-07-22	708	9791156641193	34000	34000	1020
IT CookBook, 실무로 완성하는 최신 안테나 공학 : 이론에서 실무까지	Yi Huang, Kevin Boyle	유태훈	2014-07-14	480	9791156641155	25000	25000	750
Introduction To Algorithms, Third Edition	토머스 코멘, 찰스 레이서손, 로날드 리베스트, 클리포드 스타인	문병로, 심규석, 이충세	2014-07-10	1348	9791156641131	47000	47000	1410
이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics	안승철	 	2014-07-10	408	9791156641223	23000	23000	690
공학 기초수학 : Basic Mathematics for Engineering	함남우	 	2014-07-07	412	9791156641179	18000	18000	540
IT CookBook, 컴퓨터 비전	오일석	 	2014-07-01	600	9791156641216	35000	35000	1050
실전으로 배우는 발명·특허	윤상원	 	2014-06-30	300	9791156641162	22000	22000	660
설계 프로세스로 배우는 창의적 공학설계	노승환	 	2014-06-27	336	9791156641094	20000	20000	600
IT CookBook, 빅데이터 컴퓨팅 기술	박두순, 문양세, 박영호, 윤찬현, 정영식, 장형석	 	2014-06-24	344	9791156641148	22000	22000	660
IT CookBook, 단계별로 배우는 전자회로 실험 : 기본 소자부터 응용 회로까지	이강윤	 	2014-06-05	456	9791156641117	22000	22000	660
IT CookBook, CMOS 디지털 집적회로 설계 : 기본 이론부터 실습까지	신경욱	 	2014-05-30	464	9791156641100	26000	26000	780
IT CookBook, 익스플로링 아두이노	JEREMY BLUM	김찬웅	2014-05-26	404	9791156641070	27000	27000	810
IT CookBook, RF 및 초고주파 공학	카이 창(Kai Chang)	홍익표	2014-03-12	392	9791156641063	24000	24000	720
IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)	안치현, 김형철	 	2014-03-12	460	9791156641056	22000	22000	660
IT CookBook, 엑셀 2010 실무와 활용	전미진	 	2014-02-24	428	9788998756802	19000	19000	570
IT CookBook, 엑셀과 파워포인트 2010 실무와 활용	전미진, 고경희	 	2014-02-24	648	9788998756789	21000	21000	630
IT CookBook, 파워포인트 2010 실무와 활용	고경희	 	2014-02-24	448	9788998756949	19000	19000	570
IT CookBook, ASP.NET 4.0 프로그래밍	김동아	 	2014-02-19	684	9791156641025	28000	28000	840
IT CookBook, 초보자의 첫 번째 워드 2010	최희식	 	2014-02-19	160	9788998756987	10000	10000	300
IT CookBook, New 인터넷 이해와 활용	김경신	 	2014-01-09	464	9788998756703	25000	25000	750
IT CookBook, 프로젝트로 배우는 자바 웹 프로그래밍	황희정	 	2014-01-09	692	9788998756680	26000	26000	780
IT CookBook, 디지털 논리회로 실험 : 120개의 기본 실험과 12개의 텀 프로젝트	임석구, 홍경호	 	2014-01-08	440	9788998756758	23000	23000	690
IT CookBook, 윈도우 프로그래밍 : Visual C++ 2010 MFC Programming	김선우, 신화선	 	2014-01-08	808	9788998756697	28000	28000	840
IT CookBook, 실감나게 배우는 제어공학	한수희, 이영삼, 권보규, 권오규, 권욱현	 	2014-01-02	620	9788998756710	28000	28000	840
IT CookBook, 디지털 실험 : with PSpice	홍순관	 	2013-12-31	292	9788998756772	16000	16000	480
IT CookBook, 디지털 공학 : 논리회로의 설계 원리	김대정, 모현선	 	2013-12-02	596	9788998756765	28000	28000	840
기초 선형대수학 : BASIC LINEAR ALGEBRA	이광연, 설한국, 김진수	 	2013-11-02	456	9788998756642	25000	25000	750
대학수학 Plus : University Mathematics	이재원	 	2013-10-14	528	9788998756635	26000	26000	780
IT CookBook, 웹 기획 기초와 설계(개정판) : 웹 사이트, 인터페이스, 디자인	강은정	 	2013-09-15	432	9788998756604	23000	23000	690
IT CookBook, 단계별로 따라하며 배우는 디지털 공학 실험	이승호, 민경옥	 	2013-08-21	372	9788998756499	22000	22000	660
IT CookBook, 데이터베이스 기초와 실습 : 액세스 2010	김지연	 	2013-08-21	536	9788998756369	24000	24000	720
IT CookBook, 컴퓨터 구조와 원리 2.0 : 비주얼 컴퓨터 아키텍처	신종홍	 	2013-08-21	640	9788998756314	25000	25000	750
기초 확률과 통계 : BASIC PROBABILITY & STATISTICS	박대수	 	2013-08-21	384	9788998756543	18000	18000	540
IT CookBook, 전자기학 : ELECTROMAGNETICS	Arlon T. Adams, Jay Kyoon Lee(이재균)	유태훈, 허노정	2013-08-19	640	9788998756284	30000	30000	900
IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스	주우석	 	2013-08-18	908	9788998756505	38000	38000	1140
IT CookBook, 인공지능 개론	마이클 네그네빗스키	김용혁	2013-08-13	484	9788998756451	25000	25000	750
IT CookBook, 현대 반도체 소자 공학 : Modern Semiconductor Devices for Integrated Circuits	첸밍 후(Chenming Calvin Hu)	권기영, 신형철, 이종호	2013-08-13	456	9788998756390	25000	25000	750
IT CookBook, 디지털 신호 처리 : 기본 이론부터 MATLAB 실습까지	이철희	 	2013-07-31	640	9788998756307	28000	28000	840
IT CookBook, enjoy design 포토샵 CS6	이영주	 	2013-07-28	522	9788998756352	25000	25000	750
IT CookBook, TCP/IP 윈도우 소켓 프로그래밍	김선우	 	2013-07-28	604	9788998756444	25000	25000	750
IT CookBook, 초보자의 첫 번째 파워포인트 2010	최희식	 	2013-07-28	176	9788998756536	10000	10000	300
IT CookBook, 전자회로 : 핵심 개념부터 응용까지	강문식, 신경욱	 	2013-07-25	860	9788998756482	32000	32000	960
IT CookBook, 데이터베이스 관리와 실습(개정판) : MS SQL Server 2008	손광수	 	2013-07-02	584	9788998756468	25000	25000	750
IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계	이상설	 	2013-07-02	604	9788998756376	29000	29000	870
IT CookBook, 자바로 배우는 쉬운 자료구조	이지영	 	2013-07-02	536	9788998756420	24800	24800	744
IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조	김종훈, 김종진	 	2013-07-02	384	9788998756437	20000	20000	600
IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습	박우창, 남송휘	 	2013-07-01	576	9788998756246	27000	27000	810
IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행	성윤정, 김태은	 	2013-06-19	676	9788998756215	25000	25000	750
IT CookBook, 반도체 공학 연습문제 풀이집	김동명	 	2013-05-31	336	9788998756239	22000	22000	660
IT CookBook, C 프로그래밍	강동진, 하숙정, 임수연, 송무희, 박보석	 	2013-03-20	652	9788998756161	24000	24000	720
IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010	김주영, 정영준	 	2013-03-20	496	9788998756154	21000	21000	630
IT CookBook, 초보자의 첫 번째 엑셀 2010	양숙희	 	2013-03-12	152	9788998756109	10000	10000	300
IT CookBook, 개념이 보이는 물리전자공학	이현용	 	2013-02-28	416	9788998756031	24000	24000	720
문제해결력을 키우는 이공계 글쓰기 : 발표와 토론까지	한성우	 	2013-02-28	396	9788998756024	18000	18000	540
진로개발과 직업세계 : 대학생과 청년층을 위한 진로, 취업지침서	서일수, 김도균, 김지혜, 이정배	 	2013-02-28	392	9788998756048	20000	20000	600
Essential Calculus	James Stewart	 	2012-07-08	960	9781133492566	36000	36000	1080
IT CookBook, 디지털 통신 시스템 : Digital Communication Systems	정호영, 임승각	 	2011-01-31	576	9788979147988	25000	25000	750
IT CookBook, 운영체제론 : Operating Systems, 3rd Ed	하비 디텔, 폴 디텔, 데이빗 쇼픈스	송경희	2009-09-04	860	9788979146844	32000	32000	960
